0,"何事にも真摯に取り組む者に
与えられる力"
1,"秘密の花園に耳を傾けることで
手にできる力"
2,前世の姿に近づく者が手にできる力
3,剣の腕を磨くことで手にできる力
4,慈悲の心を持つ者に与えられる力
5,仲間に迎えられし者が手にできる力
6,過去を受け入れし者に与えられる力
7,剣の腕を極めることで手にできる力
8,"武を競う場を治めし者のみが
手にできる力"
9,自らを嘯く者が手にできる力
10,"将来性を断言される者に
与えられる力"
11,"夜を舞う黒き称号を持つ者が
手にできる力"
12,銃の腕を磨くことで手にできる力
13,"どんなときでも人生に
楽しさを見いだす者に与えられる力"
14,仲間を迎えし者が手にできる力
15,過去を受け入れし者に与えられる力
16,銃の腕を極めることで手にできる力
17,"武を競う場を治めし者のみが
手にできる力"
18,"人の言うことを聞かず、自由奔放に
生きる者が手にできる力"
19,"己の心の声に素直に従う者が
手にできる力"
20,"弱きを助け強きを挫く者にのみ
与えられる力"
21,双剣の腕を磨くことで手にできる力
22,"仲間のことを心の底から思う者が
手にできる力"
23,仲間を迎えし者が手にできる力
24,過去を受け入れし者に与えられる力
25,双剣の腕を極めることで手にできる力
26,"武を競う場を治めし者のみが
手にできる力"
27,全てを見透かす者が手にできる力
28,"己の嘘を見破られし者が
手にできる力"
29,"異国の地で、賛美されし者が
手にできる力"
30,短剣の腕を磨くことで手にできる力
31,使命を優先させる者が手にできる力
32,仲間を迎えし者が手にできる力
33,過去を受け入れし者に与えられる力
34,短剣の腕を極めることで手にできる力
35,"武を競う場を治めし者のみが
手にできる力"
36,主の命令に背く者が手にできる力
37,"自身の将来を吐露した者が
手にできる力"
38,誤解を生みし者が手にできる力
39,"ライフルの腕を磨くことで
手にできる力"
40,"前世からの繋がりを重んじる者に
与えられる力"
41,仲間を迎えし者が手にできる力
42,過去を受け入れし者に与えられる力
43,"ライフルの腕を極めることで
手にできる力"
44,"武を競う場を治めし者のみが
手にできる力"
45,己の力量を知る者が手にできる力
46,将来を有望視される者が手にできる力
47,家族を守りし者が手にできる力
48,拳を磨くことで手にできる力
49,母性に溢れる者が手にできる力
50,仲間を迎えし者が手にできる力
51,過去を受け入れし者に与えられる力
52,拳を極めることで手にできる力
53,"武を競う場を治めし者のみが
手にできる力"
54,"物事の成り行きを
静観する者が手にできる力"
55,見聞を広めし者が手にできる力
56,運命に翻弄されし者が手にできる力
57,術の腕を磨くことで手にできる力
58,"全てを見届けることを
表明した者に与えられし力"
59,仲間を迎えし者が手にできる力
60,"新たなる可能性を授かりし者に
与えられる力"
61,術の腕を極めることで手にできる力
62,"武を競う場を治めし者のみが
手にできる力"
63,"己が武勲を披露せし者に
与えられる力"
64,槍の腕を磨くことで手にできる力
65,"仲間と一緒にいることを
心の底から望んだ者が手にできる力"
66,仲間を迎えし者が手にできる力
67,"新たなる可能性を授かりし者に
与えられる力"
68,槍の腕を極めることで手にできる力
69,"武を競う場を治めし者のみが
手にできる力"
70,連撃を磨くことで手にできる力
71,連撃を使いこなすことで手にできる力
72,連撃を極めることで手にできる力
